Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13699    0.035    0.000    0.292    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:166(idle_action)
    13672    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:340(perform)
    13503    0.018    0.000    0.176    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:485(get_target)
    13480    0.029    0.000    0.034    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:515(set_attraction)
    12598    0.017    0.000    0.018    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:402(check_if_enemy)
    12482    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
    12077    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:105(fg)
    11658    0.006    0.000    0.006    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:260(<genexpr>)
    11370    0.003    0.000    0.003    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:119(<genexpr>)
11022/2945    0.112    0.000    0.348    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10864    0.027    0.000    0.057    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:529(get_target_hostile)
    10676    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
    10005    0.008    0.000    0.011    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:242(_keep_alive)
     9980    0.006    0.000    0.006    0.000 {method 'join' of 'str' objects}
     9856    0.013    0.000    0.049    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:146(_munge_whitespace)
     9856    0.015    0.000    0.015    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:179(<listcomp>)
     9856    0.024    0.000    0.111    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:160(_split)
     9856    0.016    0.000    0.016    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:115(__init__)
     9856    0.027    0.000    0.412    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:342(wrap)
     9856    0.022    0.000    0.182    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:336(_split_chunks)
     9856    0.143    0.000    0.203    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:233(_wrap_chunks)
     9856    0.036    0.000    0.464    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:368(wrap)
     9856    0.007    0.000    0.007    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\message_log.py:17(full_text)
     9856    0.072    0.000    0.072    0.000 {method 'split' of 're.Pattern' objects}
     9856    0.002    0.000    0.002    0.000 {method 'reverse' of 'list' objects}
     9856    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
     9856    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
     9856    0.033    0.000    0.033    0.000 {method 'translate' of 'str' objects}
     8998    0.002    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:109(bg)
     8814    0.010    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\base_component.py:18(engine)
     8305    0.012    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\actor_state.py:230(hunger_state)
     7774    0.005    0.000    0.020    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:263(<genexpr>)
     7005    0.007    0.000    0.007    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:584(char)
     7005    0.004    0.000    0.004    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:592(fg)
     6947    0.127    0.000    0.336    0.000 {built-in method builtins.any}
     6780    0.019    0.000    0.165    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:352(<genexpr>)
     6484    0.025    0.000    0.036    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:386(choices)
     6444    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     6427    0.003    0.000    0.003    0.000 {built-in method _bisect.bisect_right}
     6426    0.004    0.000    0.011    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\_asarray.py:14(asarray)
     6402    0.006    0.000    0.010    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:408(<listcomp>)
     6400    0.015    0.000    0.154    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:266(wall_desert)
     6400    0.014    0.000    0.150    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\tile_types.py:288(wall_ancient_ruins)
     6232    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     6181    0.011    0.000    0.015    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\edible.py:58(time_pass)
     5620    0.002    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:619(_select_dispatcher)
     5620    0.963    0.000    3.768    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\util.py:102(draw_thick_frame)
     4920    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     4689    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     4587    0.002    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:113(name)
     4496    0.010    0.000    0.017    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:1088(draw_rect)
     4496    0.005    0.000    0.005    0.000 {built-in method tcod._libtcod.TCOD_console_draw_rect_rgb}
     4448    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:25(engine)
     4013    0.013    0.000    0.013    0.000 {method 'new' of 'CompiledFFI' objects}
 3916/471    0.024    0.000    0.496    0.001 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:258(_reconstruct)
3865/3623    0.009    0.000    0.122    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:200(_deepcopy_list)
     3790    0.003    0.000    0.004    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:244(iterable)
     3790    0.002    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:24(_maybe_view_as_subclass)
     3790    0.056    0.000    0.078    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:114(_broadcast_to)
     3790    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     3779    0.101    0.000    0.145    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:75(intersects)
     3753    0.007    0.000    0.012    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\item_state.py:72(check_if_semi_identified)
     3735    0.007    0.000    0.020    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:608(name)
     3706    0.001    0.000    0.001    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\multiarray.py:1043(copyto)
     3706    0.008    0.000    0.087    0.000 <__array_function__ internals>:2(copyto)
     3581    0.014    0.000    0.015    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
     3581    0.001    0.000    0.001    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:200(_broadcast_arrays_dispatcher)
     3581    0.006    0.000    0.009    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:256(<listcomp>)
     3581    0.022    0.000    0.150    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:204(broadcast_arrays)
     3581    0.008    0.000    0.166    0.000 <__array_function__ internals>:2(broadcast_arrays)
     3581    0.013    0.000    0.017    0.000 {built-in method builtins.all}
     3503    0.002    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\entity.py:600(bg)
     3360    0.001    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\equipable.py:14(clamp)
     3351    0.003    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
     3344    0.009    0.000    0.012    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:602(_as_hashable)
     3299    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x60F3B7D0}
     3001    0.012    0.000    0.030    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:46(choose_terrain)
     3001    0.005    0.000    0.005    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:11(__init__)
     2788    0.002    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:180(in_bounds)
     2783    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
 2748/446    0.097    0.000    0.485    0.001 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:226(_deepcopy_dict)
     2543    0.003    0.000    0.003    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:372(dest_xy)
     2525    0.001    0.000    0.001    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:544(get_target_neutral)
     2460    0.002    0.000    0.002    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\visual.py:5(__init__)
     2460    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
     2363    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2299    0.003    0.000    0.003    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\_internal.py:249(__init__)
     2299    0.001    0.000    0.001    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\_internal.py:303(data)
     2295    0.002    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copyreg.py:90(__newobj__)
     2295    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     2213    0.006    0.000    0.006    0.000 {built-in method numpy.empty}
     2101    0.023    0.000    0.149    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:690(get)
     2099    0.079    0.000    0.079    0.000 {built-in method tcod._libtcod.SDL_PollEvent}
     1964    0.001    0.000    0.001    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\_internal.py:60(_check)
     1801    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1715    0.537    0.000    1.894    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:119(get_actor_at_location)
     1672    0.012    0.000    0.026    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\path.py:694(add_edge)
     1583    0.017    0.000    0.020    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:185(outer)
     1527    0.005    0.000    0.006    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:294(outer)
     1458    0.005    0.000    0.057    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\numeric.py:268(full)
     1418    0.003    0.000    0.033    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:66(copy)
1369/1174    0.004    0.000    0.039    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:210(<listcomp>)
1369/1174    0.006    0.000    0.044    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:209(_deepcopy_tuple)
     1358    0.011    0.000    1.626    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:382(target_actor)
     1354    0.008    0.000    0.013    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\actions.py:348(__init__)
     1349    0.002    0.000    0.050    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:162(path_between)
     1333    0.007    0.000    0.085    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:264(<listcomp>)
     1282    0.001    0.000    0.001    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\status.py:317(hp)
     1238    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     1235    0.007    0.000    0.008    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:150(__init__)
     1235    0.013    0.000    0.032    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:858(dispatch)
     1235    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1204    0.003    0.000    0.010    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:271(__init__)
     1182    0.002    0.000    0.004    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\room_factories.py:172(__init__)
     1160    0.012    0.000    0.463    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\context.py:174(present)
     1160    0.446    0.000    0.446    0.000 {built-in method tcod._libtcod.TCOD_context_present}
     1154    0.002    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\_internal.py:433(_view_is_safe)
     1154    0.002    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:235(tiles)
     1154    0.004    0.000    0.014    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:269(tiles_rgb)
     1154    0.006    0.000    0.008    0.000 {method 'view' of 'numpy.ndarray' objects}
     1143    0.055    0.000    0.058    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:352(clear)
     1142    0.002    0.000    0.002    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:312(default_fg)
     1130    0.005    0.000    0.008    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:71(adjust)
     1128    0.001    0.000    0.001    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:301(default_bg)
     1128    0.548    0.000    1.870    0.002 {built-in method builtins.sorted}
     1127    0.059    0.000    0.059    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:184(remove_dup_entities)
     1127    0.267    0.000    2.273    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:187(sort_entities)
     1127    0.139    0.000    0.744    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\message_log.py:81(render_messages)
     1125    0.006    0.000    0.010    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\context.py:241(convert_event)
     1125    0.007    0.000    6.704    0.006 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:94(handle_events)
     1124    0.000    0.000    0.000    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\core\multiarray.py:634(result_type)
     1124    0.003    0.000    0.006    0.000 <__array_function__ internals>:2(result_type)
     1124    0.005    0.000    0.008    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:671(<listcomp>)
     1124    0.032    0.000    0.291    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:624(select)
     1124    0.003    0.000    0.308    0.000 <__array_function__ internals>:2(select)
     1124    0.003    0.000    6.664    0.006 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:97(handle_action)
     1124    0.003    0.000    5.862    0.005 c:\Users\user\Desktop\Geophyte_prealpha\src\input_handlers.py:156(on_render)
     1124    0.000    0.000    0.000    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\status.py:407(mp)
     1124    0.031    0.000    0.067    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:78(render_visuals)
     1124    0.378    0.000    0.461    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:115(render_entities)
     1124    0.065    0.000    0.386    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:128(render_tiles)
     1124    0.013    0.000    2.252    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:135(render)
