Fri Apr  9 17:43:06 2021    output.dat

         18268543 function calls (18136215 primitive calls) in 131.616 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      313    0.099    0.000    1.022    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:465(update_additional_vision)
 2748/446    0.097    0.000    0.485    0.001 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:226(_deepcopy_dict)
      312    0.096    0.000    0.126    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:230(handle_semiactor_turns)
    24189    0.088    0.000    0.143    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:81(items)
        1    0.082    0.082    0.082    0.082 {method 'release' of 'CompiledFFI' objects}
     2099    0.079    0.000    0.079    0.000 {built-in method tcod._libtcod.SDL_PollEvent}
    13714    0.074    0.000    2.318    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:596(perform_hostile)
     9856    0.072    0.000    0.072    0.000 {method 'split' of 're.Pattern' objects}
      314    0.069    0.000    0.250    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:488(update_enemy_fov)
     1124    0.065    0.000    0.386    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:128(render_tiles)
   437243    0.061    0.000    0.061    0.000 {method 'getrandbits' of '_random.Random' objects}
    19712    0.061    0.000    0.530    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\message_log.py:73(wrap)
     1127    0.059    0.000    0.059    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:184(remove_dup_entities)
        1    0.056    0.056  131.615  131.615 c:\Users\user\Desktop\Geophyte_prealpha\src\main.py:9(main)
        2    0.056    0.028    0.387    0.194 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:310(generate_rooms)
     3790    0.056    0.000    0.078    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\stride_tricks.py:114(_broadcast_to)
     1143    0.055    0.000    0.058    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\console.py:352(clear)
    14130    0.053    0.000    3.223    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:123(perform)
   183566    0.048    0.000    0.048    0.000 {built-in method builtins.round}
     1124    0.045    0.000    0.743    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:694(render_visible_entities)
    24189    0.044    0.000    0.055    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:83(<genexpr>)
      525    0.042    0.000    0.042    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\game_map.py:106(get_blocking_entity_at_location)
   295891    0.040    0.000    0.040    0.000 {method 'bit_length' of 'int' objects}
     9856    0.036    0.000    0.464    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:368(wrap)
   239702    0.036    0.000    0.036    0.000 {method 'get' of 'dict' objects}
   152381    0.035    0.000    0.035    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\base_component.py:14(gamemap)
     1124    0.035    0.000    0.650    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\render.py:137(render_character_status)
    13699    0.035    0.000    0.292    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:166(idle_action)
      314    0.034    0.000    0.037    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:377(update_entity_in_sight)
        2    0.034    0.017    0.360    0.180 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:240(generate_earth)
       42    0.033    0.001    0.078    0.002 c:\Users\user\Desktop\Geophyte_prealpha\src\terrain_generation.py:330(adjust_obstacles)
     9856    0.033    0.000    0.033    0.000 {method 'translate' of 'str' objects}
      102    0.033    0.000    0.098    0.001 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:567(get_target_pet)
   215449    0.032    0.000    0.032    0.000 {method 'append' of 'list' objects}
     1124    0.032    0.000    0.291    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\numpy\lib\function_base.py:624(select)
     1124    0.031    0.000    0.067    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\camera.py:78(render_visuals)
      442    0.030    0.000    0.080    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:498(update_vision)
    96928    0.029    0.000    0.029    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\status.py:473(agility)
      209    0.029    0.000    0.029    0.000 {built-in method tcod._libtcod.path_compute}
    13480    0.029    0.000    0.034    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:515(set_attraction)
    22634    0.029    0.000    0.029    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\procgen.py:583(<genexpr>)
      755    0.028    0.000    0.028    0.000 {method '__copy__' of 'numpy.ndarray' objects}
    10864    0.027    0.000    0.057    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:529(get_target_hostile)
     9856    0.027    0.000    0.412    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:342(wrap)
     6484    0.025    0.000    0.036    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\random.py:386(choices)
    14130    0.025    0.000    0.035    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\components\ai.py:102(check_active)
       29    0.024    0.001    0.024    0.001 {built-in method builtins.print}
 3916/471    0.024    0.000    0.496    0.001 c:\users\user\appdata\local\programs\python\python38-32\lib\copy.py:258(_reconstruct)
     9856    0.024    0.000    0.111    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\textwrap.py:160(_split)
      313    0.024    0.000    1.081    0.003 c:\Users\user\Desktop\Geophyte_prealpha\src\engine.py:442(update_fov)
     2101    0.023    0.000    0.149    0.000 c:\users\user\appdata\local\programs\python\python38-32\lib\site-packages\tcod\event.py:690(get)
    23296    0.022    0.000    0.044    0.000 c:\Users\user\Desktop\Geophyte_prealpha\src\util.py:83(get_distance)
